ApplicantIncome,,LoanAmount,,Credit_History,,Loan_Status
5849,,,,1,,Y
4583,,128,,1,,N
3000,,66,,1,,Y
2583,,120,,1,,Y
6000,,141,,1,,Y
5417,,267,,1,,Y
2333,,95,,1,,Y
3036,,158,,0,,N
4006,,168,,1,,Y
12841,,349,,1,,N
3200,,70,,1,,Y
2500,,109,,1,,Y
3073,,200,,1,,Y
1853,,114,,1,,N
1299,,17,,1,,Y
4950,,125,,1,,Y
3596,,100,,,,Y
3510,,76,,0,,N
4887,,133,,1,,N
2600,,115,,1,,Y
7660,,104,,0,,N
5955,,315,,1,,Y
2600,,116,,0,,N
3365,,112,,0,,N
3717,,151,,,,N
9560,,191,,1,,Y
2799,,122,,1,,Y
4226,,110,,1,,Y
1442,,35,,1,,N
3750,,120,,1,,Y
4166,,201,,,,N
3167,,74,,1,,N
4692,,106,,1,,N
3500,,114,,1,,Y
12500,,320,,1,,N
2275,,,,1,,Y
1828,,100,,0,,N
3667,,144,,1,,Y
4166,,184,,1,,Y
3748,,110,,1,,Y
3600,,80,,1,,N
1800,,47,,1,,Y
2400,,75,,,,Y
3941,,134,,1,,Y
4695,,96,,1,,Y
3410,,88,,1,,Y
5649,,44,,1,,Y
5821,,144,,1,,Y
2645,,120,,0,,N
4000,,144,,1,,Y
1928,,100,,1,,Y
3086,,120,,1,,Y
4230,,112,,1,,N
4616,,134,,1,,N
11500,,286,,0,,N
2708,,97,,1,,Y
2132,,96,,1,,Y
3366,,135,,1,,N
8080,,180,,1,,Y
3357,,144,,1,,Y
2500,,120,,1,,Y
3029,,99,,1,,Y
2609,,165,,0,,N
4945,,,,0,,N
4166,,116,,0,,N
5726,,258,,1,,N
3200,,126,,0,,N
10750,,312,,1,,Y
7100,,125,,1,,Y
4300,,136,,0,,N
3208,,172,,1,,Y
1875,,97,,1,,Y
3500,,81,,1,,Y
4755,,95,,0,,N
5266,,187,,1,,Y
3750,,113,,1,,N
3750,,176,,1,,N
1000,,110,,1,,N
3167,,180,,0,,N
3333,,130,,,,Y
3846,,111,,1,,Y
2395,,,,1,,Y
1378,,167,,1,,N
6000,,265,,,,N
3988,,50,,1,,Y
2366,,136,,1,,Y
3333,,99,,,,Y
2500,,104,,1,,Y
8566,,210,,1,,Y
5695,,175,,1,,Y
2958,,131,,1,,Y
6250,,188,,1,,Y
3273,,81,,1,,Y
4133,,122,,1,,Y
3620,,25,,1,,Y
6782,,,,,,N
2484,,137,,1,,Y
1977,,50,,1,,Y
4188,,115,,1,,Y
1759,,131,,1,,Y
4288,,133,,1,,Y
4843,,151,,1,,Y
13650,,,,1,,Y
4652,,,,1,,Y
3816,,160,,1,,Y
3052,,100,,1,,Y
11417,,225,,1,,Y
7333,,120,,1,,N
3800,,216,,0,,N
2071,,94,,1,,Y
5316,,136,,1,,Y
2929,,139,,1,,Y
3572,,152,,0,,N
7451,,,,1,,Y
5050,,118,,1,,Y
14583,,185,,1,,Y
3167,,154,,1,,Y
2214,,85,,,,Y
5568,,175,,1,,N
10408,,259,,1,,Y
5667,,180,,1,,Y
4166,,44,,1,,Y
2137,,137,,0,,Y
2957,,81,,1,,Y
4300,,194,,1,,Y
3692,,93,,,,Y
23803,,370,,1,,Y
3865,,,,1,,Y
10513,,160,,0,,N
6080,,182,,,,N
20166,,650,,,,Y
2014,,74,,1,,Y
2718,,70,,1,,Y
3459,,25,,1,,Y
4895,,102,,1,,Y
4000,,290,,1,,N
4583,,84,,1,,N
3316,,88,,1,,Y
14999,,242,,0,,N
4200,,129,,1,,N
5042,,185,,1,,N
5417,,168,,1,,Y
6950,,175,,1,,Y
2698,,122,,1,,Y
11757,,187,,1,,Y
2330,,100,,1,,Y
14866,,70,,1,,Y
1538,,30,,1,,Y
10000,,225,,1,,N
4860,,125,,1,,Y
6277,,118,,0,,N
2577,,152,,1,,Y
9166,,244,,1,,N
2281,,113,,1,,N
3254,,50,,1,,Y
39999,,600,,0,,Y
6000,,160,,,,Y
9538,,187,,1,,Y
2980,,120,,1,,Y
4583,,255,,1,,Y
1863,,98,,1,,Y
7933,,275,,1,,N
3089,,121,,0,,N
4167,,158,,1,,Y
9323,,75,,1,,Y
3707,,182,,1,,Y
4583,,112,,1,,N
2439,,129,,1,,Y
2237,,63,,0,,N
8000,,200,,1,,Y
1820,,95,,1,,Y
51763,,700,,1,,Y
3522,,81,,1,,N
5708,,187,,1,,Y
4344,,87,,1,,N
3497,,116,,1,,Y
2045,,101,,1,,Y
5516,,495,,0,,N
3750,,116,,1,,Y
2333,,102,,0,,N
6400,,180,,0,,N
1916,,67,,,,N
4600,,73,,1,,Y
33846,,260,,1,,N
3625,,108,,1,,Y
39147,,120,,1,,Y
2178,,66,,0,,N
2383,,58,,,,Y
674,,168,,1,,Y
9328,,188,,1,,Y
4885,,48,,1,,Y
12000,,164,,1,,N
6033,,160,,1,,N
3858,,76,,1,,Y
4191,,120,,1,,Y
3125,,170,,1,,N
8333,,187,,1,,Y
1907,,120,,1,,Y
3416,,113,,,,Y
11000,,83,,1,,N
2600,,90,,1,,Y
4923,,166,,0,,Y
3992,,,,1,,N
3500,,135,,1,,Y
3917,,124,,1,,Y
4408,,120,,1,,Y
3244,,80,,1,,Y
3975,,55,,1,,Y
2479,,59,,1,,Y
3418,,127,,1,,N
10000,,214,,1,,N
3430,,128,,0,,N
7787,,240,,1,,Y
5703,,130,,1,,Y
3173,,137,,1,,Y
3850,,100,,1,,Y
150,,135,,1,,N
3727,,131,,1,,Y
5000,,72,,0,,N
4283,,127,,,,Y
2221,,60,,0,,N
4009,,116,,1,,Y
2971,,144,,1,,Y
7578,,175,,1,,Y
6250,,128,,1,,Y
3250,,170,,1,,N
4735,,138,,1,,N
6250,,210,,1,,Y
4758,,158,,1,,Y
6400,,200,,1,,Y
2491,,104,,1,,Y
3716,,42,,1,,Y
3189,,120,,1,,Y
8333,,280,,1,,Y
3155,,140,,1,,Y
5500,,170,,1,,Y
5746,,255,,,,N
3463,,122,,,,Y
3812,,112,,1,,Y
3315,,96,,1,,Y
5819,,120,,1,,Y
2510,,140,,1,,N
2965,,155,,1,,Y
6250,,108,,1,,Y
3406,,123,,1,,Y
6050,,120,,1,,N
9703,,112,,1,,Y
6608,,137,,1,,Y
2882,,123,,1,,Y
1809,,90,,1,,Y
1668,,201,,0,,N
3427,,138,,1,,N
2583,,104,,1,,Y
2661,,279,,1,,Y
16250,,192,,0,,N
3083,,255,,1,,Y
6045,,115,,0,,N
5250,,94,,1,,N
14683,,304,,1,,N
4931,,128,,,,N
6083,,330,,,,Y
2060,,134,,1,,Y
3481,,155,,1,,N
7200,,120,,1,,Y
5166,,128,,1,,Y
4095,,151,,1,,Y
4708,,150,,1,,Y
4333,,160,,0,,Y
3418,,135,,1,,N
2876,,90,,1,,Y
3237,,30,,1,,Y
11146,,136,,1,,Y
2833,,126,,1,,Y
2620,,150,,1,,Y
3900,,90,,1,,Y
2750,,115,,1,,Y
3993,,207,,1,,Y
3103,,80,,1,,Y
14583,,436,,1,,Y
4100,,124,,,,Y
4053,,158,,0,,N
3927,,112,,1,,Y
